,Acc_superm,Acc_postof,Acc_parks_,Acc_jobs_t,Acc_hospit
8878,41,4,24,82623,1
8879,12,6,48,89059,3
8880,25,5,33,41356,1
8881,4,1,15,12097,1
8882,1,0,2,657,0
8883,11,2,19,20179,1
8884,47,6,69,97327,2
8885,19,3,12,20584,1
8886,2,0,1,854,0
8887,25,5,24,65562,1
8888,15,1,19,8488,0
8889,0,0,2,436,0
8890,0,0,0,75,0
8891,1,0,9,2207,0
8892,10,3,11,40413,1
8893,4,2,21,12364,1
8894,19,4,13,38286,2
8895,11,7,28,46525,1
8896,25,6,47,40378,0
8897,0,0,2,831,0
8898,1,0,1,463,0
8899,4,1,21,33246,1
8900,0,0,1,229,0
8901,56,13,90,289364,4
8902,11,2,21,59017,1
8903,2,0,6,7061,1
8904,1,1,4,1557,0
8905,12,5,40,65403,3
8906,23,7,24,79443,2
8907,8,0,14,8979,0
8908,12,8,39,51301,1
8909,11,3,25,20525,1
8910,23,10,11,89450,0
8911,36,6,17,63007,1
8912,1,0,11,2858,0
8913,0,0,0,8,0
8914,1,0,3,817,0
8915,0,0,0,472,0
8916,2,1,3,2409,0
8917,2,0,1,5098,0
8918,0,0,0,138,0
8919,6,2,4,16715,0
8920,27,9,31,75773,2
8921,8,3,16,30283,0
8922,1,0,2,7724,0
8923,14,3,12,23753,0
8924,0,0,4,21755,0
8925,2,0,1,764,0
8926,37,3,34,32026,2
8927,0,0,0,0,0
8928,6,2,11,7282,0
8929,52,5,35,123360,1
8930,1,0,3,2244,1
8931,1,1,4,1780,0
8932,6,3,21,17923,1
8933,14,1,13,7559,0
8934,39,6,17,38400,3
8935,7,5,18,19607,1
8936,0,0,1,485,0
8937,8,3,20,17846,0
8938,1,0,3,618,0
8939,9,6,21,24147,1
8940,0,0,5,180,0
8941,3,2,4,2411,0
8942,2,0,3,8586,0
8943,4,1,5,4871,0
8944,8,3,24,50558,1
8945,10,4,14,45535,1
8946,4,5,2,118996,0
8947,1,0,2,3946,0
8948,14,2,9,25644,1
8949,6,0,12,5692,0
8950,8,2,7,21724,1
8951,0,0,0,8,0
8952,23,5,11,34882,2
8953,23,4,37,30712,0
8954,5,0,7,39351,1
8955,33,4,33,56977,1
8956,46,5,44,86662,1
8957,9,3,23,23612,0
8958,12,4,45,38873,1
8959,16,3,20,20334,1
8960,3,0,5,5936,0
8961,13,5,27,60895,3
8962,14,1,17,12504,1
8963,13,4,36,57150,1
8964,12,3,28,35710,0
8965,26,8,33,37416,1
8966,2,0,3,1174,0
8967,5,0,4,2361,0
8968,36,6,56,55358,1
8969,8,3,7,9788,0
8970,21,4,28,22841,1
8971,11,3,6,36509,0
8972,0,0,4,39612,0
8973,10,3,17,24671,1
8974,7,0,5,6806,0
8975,57,9,72,233283,2
8976,0,0,0,116,0
8977,9,2,8,36975,0
8978,2,0,0,13561,0
8979,44,6,25,71860,1
8980,0,0,0,21,0
8981,1,0,1,1269,0
8982,3,0,3,37088,0
8983,22,7,11,56965,1
8984,4,1,5,8183,0
8985,1,1,10,5748,0
8986,12,6,22,45857,2
8987,15,4,30,29692,1
8988,26,3,37,36988,1
8989,7,2,19,11289,0
8990,15,6,24,36743,1
8991,21,8,31,97165,3
8992,11,3,6,36607,0
8993,12,5,25,55957,2
8994,35,3,36,34467,1
8995,18,6,25,63857,1
8996,10,3,22,18648,1
8997,2,5,5,116939,0
8998,12,5,22,36698,1
8999,4,3,29,44502,2
9000,14,6,17,41288,2
9001,4,0,4,1674,0
9002,17,3,9,24585,1
9003,13,3,36,76078,1
9004,22,6,45,35252,0
9005,0,1,3,502,0
9006,29,4,39,41842,1
9007,7,0,11,5513,0
9008,6,1,24,16150,0
9009,38,3,31,41497,1
9010,1,0,0,1252,0
9011,1,0,2,9148,0
9012,12,1,15,14947,0
9013,20,4,36,32494,0
9014,8,1,9,6781,0
9015,19,4,18,25810,1
9016,0,0,4,2542,1
9017,0,0,3,705,0
9018,17,7,50,163258,3
9019,13,5,26,25841,0
9020,14,5,34,77400,2
9021,20,1,24,23066,0
9022,1,0,2,1097,0
9023,13,4,57,32780,0
9024,9,2,7,23036,0
9025,23,6,23,66720,2
9026,20,5,24,45315,2
9027,6,4,19,16392,1
9028,0,1,2,812,0
9029,4,2,0,38740,0
9030,28,9,31,76484,2
9031,18,6,24,28154,1
9032,21,7,35,38472,1
9033,3,0,9,2184,0
9034,0,0,0,1489,0
9035,1,0,4,1021,0
9036,0,0,5,177,0
9037,38,4,51,65326,2
9038,24,4,26,24026,2
9039,12,3,20,18159,1
9040,5,2,7,19651,1
9041,6,2,8,3224,0
9042,7,1,4,22727,1
9043,3,0,6,12691,0
9044,13,6,14,34336,1
9045,20,3,17,27072,2
9046,0,0,0,1350,0
9047,6,0,12,4407,0
9048,16,2,5,18240,1
9049,2,1,5,3311,0
9050,3,1,4,10322,1
9051,10,2,16,13565,0
9052,0,0,4,1759,0
9053,11,4,21,55895,2
9054,4,1,12,4847,0
9055,0,0,5,428,0
9056,4,0,4,2436,0
9057,4,1,11,4606,0
9058,24,3,29,155034,2
9059,4,1,4,5759,0
9060,16,4,32,26077,0
9061,0,1,3,2544,0
9062,2,0,3,10758,0
9063,44,11,66,245577,4
9064,8,3,24,118866,0
9065,8,2,10,15287,0
9066,16,7,24,51503,2
9067,7,1,9,7486,1
9068,0,0,2,628,0
9069,10,3,21,16899,0
9070,13,3,23,23284,0
9071,12,5,25,47161,1
9072,16,2,18,20326,1
9073,0,0,1,544,0
9074,16,4,14,47894,2
9075,7,2,14,16608,0
9076,18,6,29,29077,0
9077,28,5,42,38177,2
9078,10,0,15,10117,1
9079,40,8,28,111415,1
9080,7,1,17,19706,0
9081,36,5,58,179033,1
9082,0,3,1,71051,0
9083,15,2,22,60287,2
9084,44,5,36,63112,2
